Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,emission_types
Crow Wing County MMSW Landfill,Brainerd,Minnesota,56401,15728 State Highway 210,CROW WING COUNTY,46.430797,-94.068195,562212,"C,HH",Waste,36527.05,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Biogenic CO2 emissions (metric tons)<br>Stationary Combustion<br>Municipal Landfills
Crystal River Power Plant,CRYSTAL RIVER,Florida,34428,15760 WEST POWERLINE ST,Citrus,28.9594,-82.7003,221112,"D,TT","Power Plants,Waste",7807311.774,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Electricity Generation<br>Industrial Waste Landfills
Culbertson Station,Culbertson,Montana,59218,5419 Road 1016,Roosevelt,48.2104,-104.3919,221112,D,Power Plants,25841.404,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Electricity Generation
Cullman Environmental,Cullman,Alabama,35057,2805 AL Highway 69 S,CULLMAN COUNTY,34.0244,-86.8996,562212,HH,Waste,62831.25,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
Cumberland,CUMBERLAND CITY,Tennessee,37050,815 CUMBERLAND CITY RD,Stewart,36.3903,-87.6539,221112,"C,D",Power Plants,9504975.116,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
"Cumberland Contura, LLC",Waynesburg,Pennsylvania,15370,855 Kirby Road,GREENE COUNTY,39.79547,-80.16442,212112,"C,FF",Other,1611224.034,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Underground Coal Mines
Cumberland Energy Center,MILLVILLE,New Jersey,8332,4001 EAST MAIN ST,Cumberland,39.3757,-74.9654,221112,"C,D",Power Plants,34295.742,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
Cummings Road Landfill,Eureka,California,95503,5775 Cummings Road,HUMBOLDT COUNTY,40.76235,-124.08941,562212,HH,Waste,13363.25,Total reported direct emissions<br>Methane (CH4) emissions <br>Municipal Landfills
Cunningham,HOBBS,New Mexico,88240,13M W OF HOBBS ON HWY 62/180,Lea,32.7131,-103.3533,221112,"C,D",Power Plants,773199.532,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Electricity Generation
Cunningham Underground Storage & Compressor Station,Pratt,Kansas,67035,20307 NE 150th Avenue,KINGMAN COUNTY,37.6831,-98.4648,486210,"C,W-UNSTG",Petroleum and Natural Gas Systems,33907.662,Total reported direct emissions<br>CO2 emissions (non-biogenic) <br>Methane (CH4) emissions <br>Nitrous Oxide (N2O) emissions <br>Stationary Combustion<br>Petroleum and Natural Gas Systems – Underground Storage
